cid,name,population,province,lat,lon,closest_distance,closest_substation_index
1,Abbottabad ,105999,KPK,34.17,73.23,50.3999473097,15
2,Abdul Hakim,37821,Punjab,30.55,72.13,59.8375438519,7
3,Ahmadpur East,96032,Punjab,29.14,71.25,107.1686793569,6
4,Ahamdpur Sial,21110,Punjab,30.86,71.755,69.5286338761,7
5,Alipur,29499,Punjab,29.39,70.918,82.6242171467,6
6,Alipur Chatha ,38991,Punjab,32.266,73.814,19.6587183617,13
7,Amangarh,21337,KPK,34.006,71.928,36.3805748472,16
8,Arifwala,72392,Punjab,30.294,73.059,43.0187620283,9
9,Attock,69588,Punjab,33.776,72.356,9.2158909343,28
10,Badah,32376,Sindh,27.3307,68.016,73.2812594535,4
11,Badin,61302,Sindh,24.663,68.841,107.3992305562,3
12,Bahawalnagar,109642,Punjab,30.002,73.253,74.5991068859,9
13,Bahawalpur,403408,Punjab,29.385,71.6789,93.7393110008,6
14,Bannu,46896,Punjab,32.987,70.606,136.1212028709,16
15,Basirpur,35852,Punjab,30.576,73.835,64.5233697582,9
16,Bat Khela,38222,KPK,34.605,71.933,83.3256671238,16
17,Bhai Peru,54720,KPK,31.21,73.946,4.3964172952,33
18,Bakkar,68343,Punjab,31.536,74.268,3.037916335,30
19,Bhalwal,61067,Punjab,32.8166,72.066,108.4606205213,12
20,Bhera,31140,Punjab,32.481,72.909,83.5592858317,40
21,Burewala,149857,Punjab,30.1571,72.6784,7669.2165872449,1
22,Chak Azam sahu,32413,Punjab,30.752,73.029,16.2898052019,9
23,Chak Jhumra,31563,Punjab,31.571,73.182,11.2961537956,8
24,Chak Sarwar,26004,Punjab,30582,71.2345,4796.2324554884,1
25,Chakwal,80620,Punjab,32.936,72.853,58.4179357157,40
26,Chaman,65477,Balochistan,30916,66.451,7662.0640300878,1
27,Charsadda,84257,KPK,34.154,71.7435,31.1086379985,16
28,chawinda,20016,Punjab,32.345,74.704,31.2476592057,37
29,chichawatni,72272,Punjab,32.538,72.69,93.2783611,40
30,Chiniot,169282,Punjab,31.728,72.989,32.1478006698,8
31,Chishtian,101659,Punjab,29.772,72.91,102.8081738019,9
32,Chitral,29940,KPK,35.84,71.782,211.3790058083,35
33,Chuhar kana,57601,Punjab,31.741,73368,11775.3779237036,16
34,Chunian,455552,Punjab,30.967,73.976,29.4125190188,33
35,Dadu,98575,Sindh,26.73,67.773,3.3124806391,4
36,Daharki,33400,Sindh,28.044,69.687,7.2877144738,17
37,Daska,101500,Punjab,32.332,74.353,16.511570049,37
38,Daud Khel,22387,Punjab,32.874,71.57,117.1909193727,16
39,Dera Allah Yar,37264,Balochistan,28.371,68.348,28.652659654,21
40,Dera Ghazi Khan,188149,Punjab,30.049,70.643,50.3639125087,26
41,Dera Ismail Khan ,90357,KPK,31.84,70.889,190.2038698081,7
42,Dera Murad Jamali,37766,Balochistan,28.54,68.217,5.9206116776,21
43,Digri,26533,Sindh,25.154,69.11,91.9363830617,3
44,Dijkot,23298,Punjab,31.217,72.995,24.7326959776,25
45,Dina,38597,Punjab,33.344,73.603,24.4264313273,21
46,Dinga,33186,Punjab,32.641,73.723,51.7219585448,10
47,Dipalpur,55687,Punjab,30.672,73.65,45.9655871724,9
48,Dir,24776,KPK,35.203,71.874,144.4300317697,35
49,Dullewalla,41290,Punjab,31.84,71.435,7669.2165872449,1
50,Dunyapur,28875,Punjab,29.804,71.737,50.588172628,7
51,Faisalabad,1977246,Punjab,31.454,73.092,5.8607249174,8
52,Faqirwali,21362,Punjab,29.471,73.042,133.7739103822,9
53,Fatehjang,24973,Punjab,33.565,72.64,42.8365039433,28
