iid,name,city,closest_substation_index
1,Adam Motors Companies Limited,Karachi,2
2,Al-Ghazi Tractor Company Limited ,Karachi,2
3,Ghani Automibiles Company,Lahore,31
4,Ittehad Chemicals,Lahore,31
5,Allied Bank,Karachi,2
6,Askari Bank,Rawalpindi,14
7,Rahman Habib Consultants PVT Ltd,Quetta,23
8,Engro Chemicals,Karachi,2
9,Pak Arak Fertilizer,Multan,7
10,Murree Brewery Company Limited ,Rawalpindi,14
11,Beema Pakistan Company,Karachi,2
12,Lakson Group,Karachi,2
13,Century Insurance Limited,Islamabad,14
14,Merit Packaging Limited,Karachi,2
15,Haroon Oils,Karachi,2
16,Baba Farid Sugar Mills,Karachi,2
17,Savour Foods,Islamabad,14
18,Feros Sons Laborataries,Rawalpindi,14
19,IGI Insurance Limited,Karachi,2
20,Al-Noor Sugar Mills Limited,Karachi,2
21,Allahwwasaya Textlie and Finishing mills,Multan,7
22,Ansari Sugar Mills Limited ,Karachi,2
23,Azgard 9 Limited,Lahore,31
24,General Tyres´and Rubber Company of Pakistan Limited,,
25,Zahoor Cotton Mills Ltd,Lahore,31
26,Cass Pak Industries Ltd,Karachi,2
27,Chenab Limited ,Faisalabad,8
28,Altern Energy Limited,Lahore,31
29,Agriauto Industries,Karachi,2
30,Sarhad Textile Mills Ltd,Rawalpindi,14
31,Arooj Garments Accessories Limited,Lahore,31
32,Al-Abid Sik Mills Ltd,Karachi,2
33,Arif Habib Limited,Karachi,2
34,Mustehkam Cement Limited,Islamabad,14
35,Al-Khair Gadoom Limited,Sawabi,45
36,Alfalah GHP Value Fund,Karachi,2
37,Allied Rental Modarba,Karachi,2
38,Apex Fabrics Limited,Karachi,2
39,Gauhar Engineering Limited,Islamabad,14
40,Appollo Textile Mills Ltd,Karachi,2
41,Faisal Spining Mills Company,Karachi,2
42,Ayesha Textile Mills Ltd,Lahore,31
43,Haseeb Waqas Mills Ltd,Lahore,31
44,Cresce Jute Products Limited,Lahore,31
45,Leopards Courier,Karachi,2
46,Niral Sweets,Lahore,31
47,Hamdard Laboratories (Waqf) Pakistan,Karachi,2
48,Bahiria Town Project,Rawalpindi,14
49,Oriet Advertising PVT Ltd,Lahore,31
50,AFC,Lahore,31
51,Super Asia,Gujranwala,36
52,Habib Rafique Group,Lahore,31
53,Modila Industries,Karachi,2
54,Sabro Air Conditioning,Islamabad,14
55,Hassan Mechanical,Karachi,2
56,Micronet Broadband,Islamabad,14
57,Zahid Latif Khan Securities ,Lahore,31
58,ASD Securities Ltd,Karachi,2
59,RK steel Mills Company Ltd,Islamabad,14
60,Al-Abbas Sugar Mills Limited,Karachi,2
61,Accord Textile Mills Ltd,Lahore,31
62,Alif Textile Industries Limited ,Karachi,2
63,Ashfaq Textile Mills Limited,Faisalabad,8
64,Bestway Cement Ltd,Islamabad,14
65,Bilal Fibrics Ltd,Lahore,31
66,Bank Al-Habib Limited,Multan,7
67,Dawood Group,Lahore,31
68,Dost Steels Limited,Karachi,2
69,Data Textile Limited,Lahore,31
70,Al-Zamin Leasing Modarba,Karachi,2
71,Engro Polymer and Chemical Ltd ,Karachi,2
72,Gul Ahmad Textile Mills Ltd,Karachi,2
73,Sitara Chemical Industries Ltd,Karachi,2
74,Saleem Sugar Mills Ltd,Lahore,31
75,Kohat Textile Mills Ltd,Peshawar,16
76,Maqbool Textile Mills Ltd,Multan,7
77,Al-Azhar Textile Mills Company,Multan,7
78,Kohnoor Mills Ltd,Kasur,29
79,Nazir Cotton Mills Ltd,Lahore,31
80,Usman Textile Mills Ltd,Karachi,2
81,Deewan Cement ,Karachi,2
82,ADOS Pakistan Ltd,Islamabad,14
83,Karam Ceramics Ltd,Karachi,2
84,Meezan Islamic Fund,Karachi,2
85,Amazai Textiles Mills Ltd,"Godoon Amazai, KPK",
86,Al-Abid Sik Mills Ltd,Karachi,2
87,ADOS Pakistan Ltd,Islamabad,14
88,Bela Automotive Ltd,"Hub Cowki, Balochistan",2
89,BF Modarba,Karachi,2
90,Zeal Pak Cement Factory,Karachi,2
91,Uqab Breeding Farms Ltd,Thatta,3
92,Unity Modarba,Karachi,2
93,Towellers Ltd,Karachi,2
94,Al-Khair Gadoon Ltd,Sawabi,45
95,World Call Telecom Ltd,Lahore,31
96,First Dawood Mutual Fund,Karachi,2
97,Wah Noble Chemicals Ltd,Rawalpindi,14
98,Atlas Isurance Ltd,Lahore,31
99,BRR Gaurdian Modarba,Karachi,2
100,Service Fabrics Ltd,Lahore,31
